,country,crop_item,year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,YIELD
0,Albania,Maize,1990,1485.0,121.0,16.37,36613
1,Albania,Potatoes,1990,1485.0,121.0,16.37,66667
2,Albania,"Rice, paddy",1990,1485.0,121.0,16.37,23333
3,Albania,Sorghum,1990,1485.0,121.0,16.37,12500
4,Albania,Soybeans,1990,1485.0,121.0,16.37,7000
5,Albania,Wheat,1990,1485.0,121.0,16.37,30197
6,Albania,Maize,1991,1485.0,121.0,15.36,29068
7,Albania,Potatoes,1991,1485.0,121.0,15.36,77818
8,Albania,"Rice, paddy",1991,1485.0,121.0,15.36,28538
9,Albania,Sorghum,1991,1485.0,121.0,15.36,6667
10,Albania,Soybeans,1991,1485.0,121.0,15.36,6066
11,Albania,Wheat,1991,1485.0,121.0,15.36,20698
12,Albania,Maize,1992,1485.0,121.0,16.06,24876
13,Albania,Potatoes,1992,1485.0,121.0,16.06,82920
14,Albania,"Rice, paddy",1992,1485.0,121.0,16.06,40000
15,Albania,Sorghum,1992,1485.0,121.0,16.06,3747
16,Albania,Soybeans,1992,1485.0,121.0,16.06,4507
17,Albania,Wheat,1992,1485.0,121.0,16.06,24388
18,Albania,Maize,1993,1485.0,121.0,16.05,24185
19,Albania,Potatoes,1993,1485.0,121.0,16.05,98446
20,Albania,"Rice, paddy",1993,1485.0,121.0,16.05,41786
21,Albania,Soybeans,1993,1485.0,121.0,16.05,7998
22,Albania,Wheat,1993,1485.0,121.0,16.05,29976
23,Albania,Maize,1994,1485.0,201.0,16.96,25848
24,Albania,Potatoes,1994,1485.0,201.0,16.96,81404
25,Albania,Soybeans,1994,1485.0,201.0,16.96,7927
26,Albania,Wheat,1994,1485.0,201.0,16.96,24745
27,Albania,Maize,1995,1485.0,251.0,15.67,31300
28,Albania,Potatoes,1995,1485.0,251.0,15.67,111323
29,Albania,Soybeans,1995,1485.0,251.0,15.67,11791
30,Albania,Wheat,1995,1485.0,251.0,15.67,28703
31,Albania,Maize,1996,1485.0,313.96,15.64,32604
32,Albania,Potatoes,1996,1485.0,313.96,15.64,106138
33,Albania,Soybeans,1996,1485.0,313.96,15.64,15480
34,Albania,Wheat,1996,1485.0,313.96,15.64,21741
35,Albania,Maize,1997,1485.0,376.93,15.9,31862
36,Albania,Potatoes,1997,1485.0,376.93,15.9,109874
37,Albania,Soybeans,1997,1485.0,376.93,15.9,12768
38,Albania,Wheat,1997,1485.0,376.93,15.9,28516
39,Albania,Maize,1998,1485.0,439.89,16.27,33416
40,Albania,Potatoes,1998,1485.0,439.89,16.27,127212
41,Albania,Soybeans,1998,1485.0,439.89,16.27,14327
42,Albania,Wheat,1998,1485.0,439.89,16.27,28037
43,Albania,Maize,1999,1485.0,502.86,16.57,37455
44,Albania,Potatoes,1999,1485.0,502.86,16.57,142018
45,Albania,Soybeans,1999,1485.0,502.86,16.57,17143
46,Albania,Wheat,1999,1485.0,502.86,16.57,24954
47,Albania,Maize,2000,1485.0,565.82,16.67,38811
48,Albania,Potatoes,2000,1485.0,565.82,16.67,141228
49,Albania,Soybeans,2000,1485.0,565.82,16.67,15000
50,Albania,Wheat,2000,1485.0,565.82,16.67,30455
51,Albania,Maize,2001,1485.0,628.79,16.59,38135
52,Albania,Potatoes,2001,1485.0,628.79,16.59,148818
53,Albania,Soybeans,2001,1485.0,628.79,16.59,20000
54,Albania,Wheat,2001,1485.0,628.79,16.59,28220
55,Albania,Maize,2002,1485.0,691.75,16.47,39460
56,Albania,Potatoes,2002,1485.0,691.75,16.47,153868
57,Albania,Soybeans,2002,1485.0,691.75,16.47,20000
58,Albania,Wheat,2002,1485.0,691.75,16.47,31617
59,Albania,Maize,2004,1485.0,817.68,16.16,46197
60,Albania,Potatoes,2004,1485.0,817.68,16.16,149346
61,Albania,Soybeans,2004,1485.0,817.68,16.16,13333
62,Albania,Wheat,2004,1485.0,817.68,16.16,31130
63,Albania,Maize,2005,1485.0,880.64,15.67,45442
